Team,Payroll,Payroll.millions,Wins
Arizona Diamondbacks ,73571667.00,73.572,70
Atlanta Braves ,96726167.00,96.726,86
Baltimore Orioles,67101667.00,67.102,64
Boston Red Sox  ,122696000.00,122.696,95
Chicago Cubs ,135050000.00,135.05,83
Chicago White Sox ,96068500.00,96.069,79
Cincinnati Reds,70968500.00,70.969,78
Cleveland Indians,81625567.00,81.626,65
Colorado Rockies ,75201000.00,75.201,92
Detroit Tigers,115085145.00,115.085,86
Florida Marlins,36814000.00,36.814,87
Houston Astros  ,102996415.00,102.996,74
Kansas City Royals,70908333.00,70.908,65
Los Angeles Angels  ,113709000.00,113.709,97
Los Angeles Dodgers ,100458101.00,100.458,95
Milwaukee Brewers ,79857502.00,79.858,80
Minnesota Twins ,65299267.00,65.299,87
New York Mets  ,135773988.00,135.774,70
New York Yankees ,201449289.00,201.449,103
Oakland Athletics,62310000.00,62.31,75
Philadelphia Phillies,113004048.00,113.004,93
Pittsburgh Pirates ,48743000.00,48.743,62
San Diego Padres,42796700.00,42.797,75
San Francisco Giants,82161450.00,82.161,88
Seattle Mariners ,98904167.00,98.904,85
St. Louis Cardinals ,88528411.00,88.528,91
Tampa Bay Devil Rays ,63313035.00,63.313,84
Texas Rangers,68646023.00,68.646,87
Toronto Blue Jays ,80993657.00,80.994,75
Washington Nationals,59328000.00,59.328,59
